Entity1,Entity2,Strength,Content
粉丝,工业明胶,1,后，姜宏战使用自刘明光处购买的工业明胶生产粉丝409.6吨并销售，销售金额131万余元。
猪头肉,工业明胶,1,其间，姜宏战还向被告人江崇雪转售工业明胶3.5吨用于生产猪头肉、猪拱，销售金额7万余元。
大葱,甲拌磷,1,　　案例7：种植大葱使用农药甲拌磷
牛肚,工业用火碱,1,　　案例9：用工业用火碱浸泡牛肚
面条汤料,罂粟壳,1,　　案例12：面条汤料中添加罂粟壳
牛奶,金黄色葡萄球菌,1,有研究者使用NASBA技术进行牛奶中金黄色葡萄球菌，检出限分别为1～10cfu/mL。
牛奶,沙门氏菌,1,Chunglok等人使用单层的碳纳米管作为抗固定化载体，检测了牛奶中的鼠伤寒沙门氏菌，检出限比其他免疫学方法低了2个log值。
肉制品,亚硝酸盐,1,肉制品的腌制过程中正确使用亚硝酸盐，不仅可以保证肉类的口感，而且可以使其在视觉上保持原来的鲜艳颜色，这是因为亚硝酸盐在酸性环境下发生化学反应，亚硝酸盐中的亚硝基在常温环境下可以快速与环境中的氧发生反应，将肌红蛋白分子中的二价铁离子进行置换，生成了一氧化氮肌红蛋白，含有丰富的铁离子，保持肉质的稳定性不容易被分解，所以即使在加热以后仍然可以保持红润色彩。
腌制食品,亚硝酸盐,1,亚硝酸盐的抗氧化作用是保证肉类腌制食品可以长时间保存的一个重要因素，因为普通的肉质在氧气环境下很容易发生脂质氧化作用而导致腐败，产生不良的气体甚至是有毒的物质，这是肉质变质的主要原因。
土豆粉,铝,1,　　2017年9月上旬，泾阳县公安局发现一个名为咸阳宣康食品加工厂的土豆粉生产黑作坊，经鉴定，作坊内提样的土豆粉铝超标6倍。
牛肉,菌落总数,1,　　海口市食药监局通报2017年查处七大典型案例，其中海口沐海人食品有限公司生产经营菌落总数不符合食品安全标准的卤制牛肉（五香味）被罚5.5万元。
花生,黄曲霉毒素,1,花生、玉米、坚果等食物中可能出现黄曲霉，它产生的黄曲霉毒素是臭名昭著的致癌物，不仅可能使人急性中毒甚至死亡，长期低剂量也会增加癌症风险。
花生,霉菌,1,花生、瓜子、榛子、松仁等果仁轻微变黄甚至发黑、味苦，皱皮变色，谷物表面上长有黄绿色霉菌或破损、皱缩、变色，即表明霉变了。
鸡蛋,发霉,1,遭到雨淋或受潮的鸡蛋，蛋壳表面的保护膜会被洗掉，细菌侵入蛋内导致变质，蛋壳表面也会发霉，出现黑斑点，这种鸡蛋要直接扔掉。
火腿,发霉,1,保藏期内的温度、湿度过高，会使火腿表面发霉。
馒头,霉菌,1,馒头受到霉菌污染，会长出肉眼可以看到的“毛”。
乳品,沙门氏菌,1,    因为在生产中被沙门氏菌污染，并在消费阶段导致婴儿的感染，法国乳品巨头拉克塔利斯集团在多国范围内召回问题乳粉，其中包括中国。
面包,霉菌,1,在面包制造厂的搅拌机的外壁上, 可发现黑色斑点状的霉菌, 此类霉菌为壳粉原料中的主要霉菌———曲霉。
猪肉,亚硝酸盐,1,该县表示，经调查，事件是由于1月20日该幼儿园负责人白玉霞用自行购买的2两亚硝酸盐(当地村民过年传统方法烹烧猪肉常用的材料，民间俗称火硝)，在幼儿园食堂加工春节自用肉食后，将剩余的不足1两亚硝酸盐留在幼儿园食堂厨房。
蛋糕,菌落总数,1,（四）天猫惠家旗舰店（经营者为泉州惠家食品有限公司）在天猫（网站）销售的标称福建惠家食品有限公司生产的惠家蒸蛋糕（香浓原味），菌落总数5次检出值分别为1700000CFU/g、1900000CFU/g、1300000CFU/g、1600000CFU/g、2600000CFU/g，不符合国家标准规定的菌落总数5次检测结果均不得超过100000CFU/g且至少3次检测结果不得超过10000CFU/g。
面包,过氧化值,1,（五）华润万家生活超市（浙江）有限公司杭州金沙大道店销售的标称北京禾格佳尚进出口有限公司代理、Quely，S.A.生产的桂力橄榄油面包条（原产国：西班牙），过氧化值（以脂肪计）检出值为0.53g/100g，比国家标准规定（不超过0.25g/100g）高出1.12倍。
内酯豆腐,大肠菌群,1,（六）北京华冠商业科技发展有限公司购物中心销售的标称北京二商希杰食品有限责任公司生产的白玉内酯豆腐，大肠菌群5次检出值分别为13000CFU/g、13000CFU/g、13000CFU/g、13000CFU/g、13000CFU/g，不符合国家标准规定的大肠菌群5次检测结果均不得超过1000CFU/g且至少3次检测结果不得超过100CFU/g。
