	Entity1	Entity2	Stength
10944	红糖发糕	脱氢乙酸	2
10943	红糖发糕	钠	4
10942	茂谷柑	克百威	1
10941	黄鱼	恩诺沙星	1
10940	杨梅	甜蜜素	25
10939	泥鳅	恩诺沙星	1
10938	生姜	噻虫胺	1
10937	杨梅	糖精钠	17
10936	杨梅	钠	39
10935	桑葚	脱氢乙酸	3
10934	桑葚	钠	3
10933	牛蛙	恩诺沙星	1
10932	牛蛙	环丙沙星	1
10931	韭菜	镉	1
10930	黄鱼	环丙沙星	1
10929	大黄鱼	恩诺沙星	1
10928	大黄鱼	环丙沙星	1
10927	红薯宽粉	铝	2
10926	海苔饼	铝	12
10925	鲫鱼	恩诺沙星	1
10924	鲫鱼	环丙沙星	1
10923	本地韭菜	镉	2
10922	鳊鱼	恩诺沙星	1
10921	鳊鱼	环丙沙星	226
10920	红薯粉条	铝	1
10919	绿豆糕	脱氢乙酸	1
10918	绿豆糕	钠	9
10917	榨菜	苯甲酸	49
10916	榨菜	钠	1
10915	中梅	甜蜜素	2
10914	油条	铝	1
10913	豇豆	甲氨基阿维菌素苯甲酸盐	1
10912	豇豆	苯甲酸	45
10911	豇豆	阿维菌素	1
10910	豇豆	三唑磷	27
10909	豇豆	磷	190
10908	猪肉	土霉素	2
10907	豇豆	灭蝇胺	1
10906	青菜	毒死蜱	1
10905	泥鳅	环丙沙星	1
10904	豇豆	倍硫磷	1
10903	芒果	吡唑醚菌酯	36
10902	发糕	山梨酸	1
10901	发糕	钾	1
10900	粽叶	铜	5
10899	猪头肉	山梨酸	3
10898	猪头肉	钾	3
10897	乌鸡	甲氧苄啶	1
10896	盐焗味蛋	山梨酸	1
10895	盐焗味蛋	钾	1
10894	冰鲜黄鱼	恩诺沙星	1
10893	冰鲜黄鱼	环丙沙星	1
10892	竹盐	氯化钠	3
10891	竹盐	钠	1
10890	黄鳝	恩诺沙星	1
10889	豇豆	氟	1
10888	豇豆	甲基异柳磷	1
10887	麻花	铝	11
10886	牛蛙	呋喃唑酮	1
10885	二锅头	邻苯二甲酸二正丁酯	2
10884	南园烧鸡	金黄色葡萄球菌	1
