Entity1	Entity2	Strength
红糖发糕	脱氢乙酸	2
茂谷柑	克百威	1
黄鱼	恩诺沙星	1
杨梅	甜蜜素	25
泥鳅	恩诺沙星	1
生姜	噻虫胺	1
杨梅	糖精钠	17
桑葚	脱氢乙酸	3
牛蛙	恩诺沙星	1
牛蛙	环丙沙星	1
韭菜	镉	1
黄鱼	环丙沙星	1
大黄鱼	恩诺沙星	1
大黄鱼	环丙沙星	1
红薯宽粉	铝	2
海苔饼	铝	12
鲫鱼	恩诺沙星	1
鲫鱼	环丙沙星	1
本地韭菜	镉	2
鳊鱼	恩诺沙星	1
鳊鱼	环丙沙星	226
红薯粉条	铝	1
绿豆糕	脱氢乙酸	1
榨菜	苯甲酸	49
中梅	甜蜜素	2
油条	铝	1
豇豆	甲氨基阿维菌素苯甲酸盐	1
豇豆	苯甲酸	45
豇豆	阿维菌素	1
豇豆	三唑磷	27
猪肉	土霉素	2
豇豆	灭蝇胺	1
青菜	毒死蜱	1
泥鳅	环丙沙星	1
豇豆	倍硫磷	1
芒果	吡唑醚菌酯	36
发糕	山梨酸	1
粽叶	铜	5
猪头肉	山梨酸	3
乌鸡	甲氧苄啶	1
盐焗味蛋	山梨酸	1
冰鲜黄鱼	恩诺沙星	1
冰鲜黄鱼	环丙沙星	1
竹盐	氯化钠	3
黄鳝	恩诺沙星	1
豇豆	氟	1
豇豆	甲基异柳磷	1
麻花	铝	11
牛蛙	呋喃唑酮	1
二锅头	邻苯二甲酸二正丁酯	2
南园烧鸡	金黄色葡萄球菌	1
桑椹	脱氢乙酸	1
高粱特曲	邻苯二甲酸二正丁酯	2
腌茭头	苯甲酸	1
芒果	戊唑醇	13
米粉	脱氢乙酸	18
芒果	噻虫胺	3
猪肉	甲氧苄啶	2
猪肉	甲氧苄氨嘧啶	1
猪肉	磺胺类	1
乌鸡	沙拉沙星	2
玉米酒	甜蜜素	15
箬叶	铜	1
牛蛙	呋喃西林代谢物	1
生姜	铅	1
藻蓝蛋白	脱氢乙酸	1
米面	脱氢乙酸	12
开心果仁	霉菌	3
长豇豆	三唑磷	10
高度开坛香	甜蜜素	1
田鸡	恩诺沙星	1
沃柑	丙溴磷	1
姜	吡虫啉	9
奶香味山核桃碎仁	霉菌	1
生姜	噻虫嗪	1
黑鱼	恩诺沙星	51
黑鱼	环丙沙星	25
正宗稻谷香	甜蜜素	1
豆腐干	糖精钠	1
猪肉	五氯酚酸钠	1
山东大姜	噻虫胺	1
酱鸭	胭脂红	2
油赞子	糖精钠	1
奶茶	霉菌	1
海苔香松	总砷	1
洋槐蜜	甲硝唑	1
白糖双炊糕	霉菌	1
尖椒	克百威	2
卤香猪头	单核细胞增生李斯特氏菌	1
红糖发糕	霉菌	2
辣椒	噻虫胺	1
樟荣酱菜	山梨酸	1
国产香蕉	吡虫啉	9
陈醋鸡爪	山梨酸	1
鲜汁鸡	胭脂红	1
鲜汁鸡	铝	1
老姜	噻虫胺	73
陈醋鸡爪	苯甲酸	1
长豇豆	甲基异柳磷	12
酒酿馒头	糖精钠	1
青菜	啶虫脒	24
长豇豆	克百威	18
独门花雕	总酸	1
杨梅	脱氢乙酸	20
老姜	铅	1
大姜	噻虫胺	3
杨梅2	甜蜜素	1
韭菜	铅	4
鲈鱼	恩诺沙星	1
豆腐干	苯甲酸	45
河虾	恩诺沙星	76
长豇豆	倍硫磷	23
柠檬爪	单核细胞增生李斯特氏菌	1
姜	铅	1
大尖椒	啶虫脒	2
老姜	镉	1
甜椒	铅	1
川式麻辣冷泡汁	罗丹明B	1
河虾	环丙沙星	43
黄鳝	环丙沙星	151
长豆	水胺硫磷	1
桔子鲜果捞	山梨酸	1
米皮	脱氢乙酸	1
豇豆	噻虫嗪	1
健康平衡盐	氯化钠	1
豇豆	乙酰甲胺磷	13
豇豆	甲胺磷	16
长豆	倍硫磷	1
长豇豆	灭蝇胺	1
尖椒	啶虫脒	3
线椒	啶虫脒	8
蜂蜜杨梅	霉菌	3
鲻鱼	五氯酚酸钠	2
老姜	噻虫嗪	21
大姜	吡虫啉	4
螺丝椒	噻虫胺	11
苹果蕉	吡虫啉	5
小辣椒	甲氨基阿维菌素苯甲酸盐	1
小辣椒	苯甲酸	1
小辣椒	阿维菌素	1
香蕉	吡虫啉	1
长豇豆	甲氨基阿维菌素苯甲酸盐	29
长豇豆	苯甲酸	29
长豇豆	阿维菌素	29
米线	脱氢乙酸	28
芹菜	乐果	1
西芹	毒死蜱	1
线椒	甲氨基阿维菌素苯甲酸盐	1
线椒	苯甲酸	1
线椒	阿维菌素	1
线椒	乐果	1
长豆	克百威	1
米线	二氧化硫	1
豇豆	噻虫胺	1
牛蛙	氟	23
竹盐	碘	3
豆芽	6-苄基腺嘌呤	1
黄刺鱼	恩诺沙星	2
黄刺鱼	环丙沙星	2
黄刺鱼	孔雀石绿	1
糖金桔	胭脂红	1
生姜	镉	1
香蕉	苯醚甲环唑	5
粉条	二氧化硫	1
韭菜	腐霉利	1
虎皮蛋糕	柠檬黄	1
桃桃红柚果汁茶饮料	茶多酚	1
卤牛肉	山梨酸	7
奶油味葵花籽	甜蜜素	2
黄酒	氨基酸态氮	27
菠菜	铬	4
卤鸭	山梨酸	1
大蒜头	糖精钠	2
茄子	甲氰菊酯	6
高粱烧	总酸	1
小麦烧酒	甜蜜素	1
香糯蜜枣粽	金黄色葡萄球菌	1
小龙虾	五氯酚酸钠	2
绍兴花雕酒	氨基酸态氮	3
茄子	噻虫胺	16
橙味饮料	脱氢乙酸	1
辣椒	啶虫脒	7
夏威夷果	霉菌	2
精制料酒	脱氢乙酸	1
黄桃干	乙二胺四乙酸二钠	1
辣椒	甲氨基阿维菌素苯甲酸盐	4
辣椒	苯甲酸	5
辣椒	阿维菌素	4
雪梨	毒死蜱	1
嫩姜	噻虫胺	1
香菇菜	啶虫脒	2
小黄叶菜	阿维菌素	1
茄子	噻虫嗪	6
小黄叶菜	啶虫脒	2
14Kg核桃仁	霉菌	1
鸡蛋	地美硝唑	1
鲜沃柑	丙溴磷	1
油麦菜	阿维菌素	1
小辣椒	噻虫胺	1
坚果葛根粉	霉菌	1
山椒花生	山梨酸	2
香菇菜	阿维菌素	1
福建杨梅	脱氢乙酸	1
螺丝椒	毒死蜱	1
哈密瓜	乙酰甲胺磷	4
哈密瓜	甲胺磷	4
三黄鸡	磺胺类	8
大尖椒	氟	1
红心小番薯	毒死蜱	1
橙	氯唑磷	2
咸菜	苯甲酸	15
饮用天然水	耗氧量	1
山药薏米芡实粉	霉菌	2
青菜	氟	14
年糕片	脱氢乙酸	25
咸菜	防腐剂	6
饮用天然水	亚硝酸盐	1
饮用天然水	硝酸盐	3
猪后腿肉	磺胺类	1
复配食品添加剂高分散白色剂	铅	1
啤酒	原麦汁浓度	1
方竹笋	防腐剂	1
鲫鱼	呋喃唑酮	1
沃柑	毒死蜱	1
茄子	镉	1
红豆薏米粉	霉菌	5
沃柑A级	苯醚甲环唑	1
香蕉	噻虫嗪	1
珍珠粉圆	山梨酸	1
红鲤鱼	地西泮	3
小黄鱼	恩诺沙星	1
小黄鱼	环丙沙星	1
高粱酒	糖精钠	6
小台芒A级	吡唑醚菌酯	1
小台芒	吡唑醚菌酯	24
高粱烧酒	甜蜜素	2
谷烧	糖精钠	1
甜面包	糖精钠	1
本鸡	挥发性盐基氮	1
鸡蛋	甲硝唑	1
花雕酒	氨基酸态氮	2
玉米酒	糖精钠	1
生姜	吡虫啉	1
黑鱼	孔雀石绿	1
东方树叶乌龙茶原味茶饮料	咖啡因	6
山西晋霸老醋	不挥发酸	1
荞麦烧	甜蜜素	5
萝卜干	苯甲酸	1
芝麻烧	甜蜜素	1
姜	噻虫嗪	1
水煮花生	苯甲酸	2
黄桃鲜果捞	山梨酸	1
黄鳝	甲氧苄啶	1
五粮酒	甜蜜素	1
枣香萝卜头	防腐剂	1
桂鱼	氯霉素	1
薏米烧	甜蜜素	2
沃柑	联苯菊酯	1
盐焗腰果	霉菌	1
黄酒	甜蜜素	1
金鹿放心酱油	全氮	1
小黄叶菜	毒死蜱	1
萝卜干	糖精钠	6
歙县滴水香	草甘膦	1
长豆角	甲基异柳磷	2
生姜	甲拌磷	1
会稽山绍兴花雕酒	山梨酸	1
芹菜	甲拌磷	1
萝卜	氯氰菊酯	1
云南杨梅	甜蜜素	1
豇豆	水胺硫磷	1
美国西梅	甜蜜素	1
菠菜	毒死蜱	1
菠菜	乐果	1
青椒	噻虫胺	6
会稽山绍兴花雕酒	甜蜜素	1
上海青	毒死蜱	1
小白菜	毒死蜱	1
蜂蜜米露	日落黄	1
丁香荔枝	氟	1
长豆角	三唑磷	2
粉条包	山梨酸	1
芝士脆	山梨酸	1
香酥腰果	霉菌	2
会稽山绍兴花雕酒	苯甲酸	1
会稽山绍兴花雕酒	氨基酸态氮	1
香菇菜	氟	1
大香蕉	氟	1
会稽山绍兴花雕酒	糖精钠	1
小青菜	啶虫脒	1
长豆角	倍硫磷	2
奶茶	茶多酚	1
士力架花生夹心巧克力	沙门氏菌	1
丑橘	丙溴磷	1
年糕	脱氢乙酸	138
姜	噻虫胺	1
菜籽油	芥酸	1
萝卜干	阿斯巴甜	2
薄皮椒	氟	1
菜籽油	花生一烯酸	1
菜籽油	亚油酸	1
菜籽油	油酸	1
辣椒	镉	1
老豆腐	苯甲酸	25
应姐麻糍	脱氢乙酸	1
橙	丙溴磷	1
菜籽油	豆蔻酸	1
土烧	铅	1
东魁杨梅	脱氢乙酸	2
菜籽油	棕榈酸	1
芹菜	毒死蜱	1
云片糕	霉菌	6
河粉	脱氢乙酸	1
豇豆	啶虫脒	1
香蕉	噻虫胺	80
应姐麻糍	山梨酸	1
精品香蕉	腈苯唑	1
混合果蔬汁饮料	铅	1
康师傅 绿茶 调味茶饮品	茶多酚	1
甜蕉	噻虫嗪	1
甜蕉	噻虫胺	1
茯砖茶	氟	10
鲤鱼	地西泮	1
小麦酒	甜蜜素	3
小白条	恩诺沙星	1
牛蛙	氯霉素	1
橄榄蛋糕	脱氢乙酸	1
黑鱼	呋喃唑酮	1
馒头	糖精钠	1
鳊鱼	地西泮	5
豇豆	克百威	1
香蕉	腈苯唑	19
小麦酒	糖精钠	1
天糯腐乳	氯化钠	1
天糯腐乳	食盐	1
活品牛蛙	呋喃西林代谢物	1
饮用纯净水	耗氧量	7
铁杆山药	涕灭威	1
茶π蜜桃乌龙茶	咖啡因	2
蓝氏蝉翼粉皮	二氧化硫	1
羊头爿	氯霉素	1
冰红茶	咖啡因	1
无水蛋糕	脱氢乙酸	1
国先油炒脆萝卜	糖精钠	2
手工粉条	铝	1
什锦菜	苯甲酸	4
优质晚米糕	脱氢乙酸	1
散称紫菜	铅	1
什锦菜	防腐剂	3
高粱酒	甜蜜素	1
茶π果味茶饮料蜜桃乌龙茶	咖啡因	4
青稞酒	甜蜜素	1
卤羊脚	氯霉素	1
蜂蜜榨菜片	纽甜	1
沼虾	恩诺沙星	87
沼虾	环丙沙星	53
海蜇皮	铝	18
茄子	克百威	4
酸菜	苯甲酸	4
韭菜	多菌灵	39
咸话梅	甜蜜素	2
木糖醇山楂	胭脂红	1
本地姜	铅	2
小龙虾	恩诺沙星	1
小龙虾	环丙沙星	1
海蜇	铝	1
小米椒	啶虫脒	1
橙子	水胺硫磷	2
芹菜	铅	4
奶油味香瓜子	甜蜜素	1
胡萝卜	甲拌磷	8
凉粉	铝	1
荞麦酒	甲醇	5
生食海蜇	铝	1
小老姜	吡虫啉	2
盐焗牛筋味	甜蜜素	1
小台农芒果	吡唑醚菌酯	3
小米椒	噻虫胺	5
山东姜	吡虫啉	1
木糖醇山楂	甜蜜素	1
春之青豆	甜蜜素	1
萝卜丁	糖精钠	2
油焖黄金椒	防腐剂	1
桔子	联苯菊酯	2
小沃柑	丙溴磷	1
酒味复合调料汁	苯甲酸	1
嫩豆腐	苯甲酸	10
中椒	噻虫胺	2
黄鱼	孔雀石绿	1
酒味复合调料汁	脱氢乙酸	1
奶油味瓜子	糖精钠	1
鲫鱼	孔雀石绿	1
香肠	氯霉素	1
红碎茶	乙酰甲胺磷	1
红碎茶	甲胺磷	1
马铃薯	毒死蜱	1
特酿香醋	不挥发酸	1
小青瓜	阿斯巴甜	2
红壳鸡蛋	地美硝唑	2
黄豆芽	4-氯苯氧乙酸	1
纸皮核桃仁	霉菌	2
蛏子	呋喃西林代谢物	4
杭椒	噻虫胺	5
大沃柑	联苯菊酯	1
备得福糖醋大蒜	糖精钠	2
韭菜	氟	28
干海带皮	铅	1
猕猴桃	氯吡脲	1
油焖黄金椒	苯甲酸	2
年糕条	二氧化硫	1
生食海蜇丝	铝	1
原味腰果	霉菌	1
水洗姜	噻虫胺	1
海蜇头	铝	1
烧麦	山梨酸	1
草虾	恩诺沙星	23
鳊鱼	孔雀石绿	1
年糕条	脱氢乙酸	8
饮用水	铜	157
红毛蟹	镉	3
彭氏五令	铅	1
梭子蟹	镉	1
三眼蟹	镉	1
豆沙粽	安赛蜜	1
海南香蕉	噻虫胺	1
山药	涕灭威	1
美人椒	噻虫胺	2
红线椒	克百威	1
水豆腐	苯甲酸	1
鲈鱼	五氯酚酸钠	4
豆沙粽	苯甲酸	1
长豇豆	噻虫嗪	17
铁棍山药	涕灭威	1
豆沙粽	糖精钠	1
红线椒	噻虫胺	1
豆沙粽	铅	1
罗氏虾	恩诺沙星	2
罗氏虾	环丙沙星	1
油炸麻花	铝	1
海南香蕉	噻虫嗪	1
豆沙粽	脱氢乙酸	1
樱桃味李干	山梨酸	3
牛蛙	磺胺类	2
猪肉	沙丁胺醇	1
虾皮	镉	2
高粱大曲	甜蜜素	1
萝卜丁	防腐剂	2
猪肉	克伦特罗	1
萝卜丁	苯甲酸	1
贵妃芒果	噻虫胺	1
鲢鱼	地西泮	1
油炸鸡爪	糖精钠	1
扎蹄	胭脂红	1
鲜得味豉汁口味金枪鱼罐头	苯甲酸	1
铁棍山药老浆粉条	铝	1
猪肉	莱克多巴胺	1
姜	镉	11
长豆角	甲氨基阿维菌素苯甲酸盐	1
长豆角	苯甲酸	3
长豆角	阿维菌素	4
舟山呛蟹	氯化物	1
特级海蜇头	氯化物	1
真鸡冻大鸡排	胭脂红	1
真鸡冻大鸡排	氯霉素	1
荷兰豆	多菌灵	1
九州柚酒	山梨酸	1
雪涛加碘精制矿盐	碘	1
红辣椒	噻虫胺	2
优级雪景绵白糖	还原糖	1
嫩姜制品	苯甲酸	1
东魁杨梅	糖精钠	3
早膳好手抓饼	糖精钠	1
陈酿醋	糖精钠	1
芹菜	腈菌唑	5
沃柑	苯醚甲环唑	1
薄盐生抽	脱氢乙酸	1
木糖醇伍仁月饼	防腐剂	1
芹菜	噻虫胺	20
红豆薏米丸	能量	1
红豆薏米丸	霉菌	1
草鱼	恩诺沙星	1
小台芒	戊唑醇	1
凉皮	脱氢乙酸	6
老姜	吡虫啉	12
红豆薏米丸	碳水化合物	1
牛肉	五氯酚酸钠	1
精品蕉	氟	1
小青菜	总汞	1
小台芒	噻虫胺	1
红油榨菜丝	防腐剂	1
酱菜	糖精钠	1
冰糖雪梨  梨汁饮品	霉菌	1
铁山楂饼	霉菌	1
线椒	噻虫胺	19
瓜子	甜蜜素	1
康师傅 鲜果橙 橙水果饮品	霉菌	1
